Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
88,Pedro Borges,br BRA,MF,Sport Recife,28-232,1997,3.3,10,4,4,6,0,4,8,50.0,4,4,2,2,3,13,9,0,Matches
89,Rafael Borré,co COL,FW,Internacional,30-036,1995,13.5,23,15,4,7,12,4,17,23.5,13,10,1,9,3,26,8,0,Matches
90,Lucas Braga,br BRA,"FW,DF",Vitória,28-345,1996,9.6,18,11,9,8,1,6,11,54.5,5,14,1,13,4,22,11,0,Matches
91,Bilal Brahimi,dz ALG,FW,Santos,25-221,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
92,Martin Braithwaite,dk DEN,FW,Grêmio,34-138,1991,16.2,9,5,3,3,3,4,7,57.1,3,5,1,4,3,12,10,0,Matches
93,Gabriel Brazão,br BRA,GK,Santos,25-016,2000,27.7,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,22,3,Matches
94,Brenno,br BRA,GK,Fortaleza,26-203,1999,5.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,6,0,Matches
95,Breno,br BRA,"FW,MF",Fortaleza,29-270,1996,16.9,10,8,6,3,1,3,8,37.5,5,10,0,10,2,12,5,0,Matches
96,Breno,br BRA,MF,Corinthians,20-243,2005,22.5,47,29,17,24,6,20,48,41.7,28,30,5,25,16,63,21,0,Matches
97,Emanuel Brítez,ar ARG,DF,Fortaleza,33-209,1992,10.7,18,11,12,5,1,11,17,64.7,6,7,5,2,8,26,44,0,Matches
98,Bruninho,br BRA,MF,Fortaleza,20-132,2005,0.8,2,2,0,1,1,2,3,66.7,1,5,1,4,2,4,0,0,Matches
99,Fabrício Bruno,br BRA,DF,Cruzeiro,29-251,1996,26.0,38,31,22,14,2,21,30,70.0,9,37,22,15,16,54,186,1,Matches
100,Gustavo Caballero,py PAR,"FW,DF",Santos,24-030,2001,3.3,6,5,3,1,2,4,5,80.0,1,2,1,1,7,13,4,0,Matches
