Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
641,Ricardinho,br BRA,MF,Ferroviária,36-228,1989,31,30,2537,28.2,1,0,1,1,0,0,11,1,0.04,0.00,0.04,0.04,0.04,Matches
642,Zé Ricardo,br BRA,MF,Avaí,29-246,1996,27,27,2234,24.8,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches
643,Rigley,br BRA,FW,Avaí,20-285,2005,3,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
644,Diogo Riquelme,br BRA,MF,Ath Paranaense,20-201,2005,4,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
645,Gabriel Risso Patrón,ar ARG,DF,Botafogo (SP),30-005,1995,32,29,2447,27.2,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches
646,Jorge Roa Jiménez,py PAR,MF,Chapecoense,32-256,1993,23,8,688,7.6,0,1,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches
647,Jhonata Robert,br BRA,"MF,FW",Criciúma,26-015,1999,29,24,1812,20.1,6,4,10,6,0,0,5,0,0.30,0.20,0.50,0.30,0.50,Matches
648,Robertinho,br BRA,MF,Amazonas,29-261,1996,11,5,560,6.2,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches
649,Robinho,br BRA,MF,Volta Redonda,23-095,2002,15,13,1074,11.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
650,Robinho,br BRA,"MF,FW",Botafogo (SP),30-295,1995,17,7,689,7.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
651,Robson,br BRA,"FW,MF",Novorizontino,34-164,1991,23,16,1391,15.5,3,3,6,1,2,4,4,1,0.19,0.19,0.39,0.06,0.26,Matches
652,Heitor Roca Santo,br BRA,MF,Criciúma,27-264,1998,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
653,Pedro Rocha Neves,br BRA,"MF,FW",Remo,31-041,1994,30,29,2482,27.6,14,5,19,12,2,4,6,1,0.51,0.18,0.69,0.44,0.62,Matches
654,Rodrigo,br BRA,MF,CRB,20-323,2004,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
655,Kayke Rodrigues,br BRA,FW,Volta Redonda,37-223,1988,11,3,313,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
656,Lucas Rodrigues,br BRA,DF,Ferroviária,26-129,1999,33,33,2855,31.7,0,2,2,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,Matches
657,Rodrigo Rodrigues,br BRA,FW,Coritiba,29-145,1996,4,2,134,1.5,1,0,1,1,0,0,1,0,0.67,0.00,0.67,0.67,0.67,Matches
658,Thales Rodrigues,br BRA,FW,Criciúma,19-006,2006,8,2,188,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
659,Thiago Rodrigues,br BRA,GK,Goiás,37-021,1988,1,1,90,1.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
660,Alan Rodríguez,py PAR,"DF,MF",Remo,25-087,2000,14,10,1044,11.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
661,Aldair Rodríguez,pe PER,FW,Amazonas,31-096,1994,9,4,333,3.7,0,1,1,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,Matches
662,Hanner Rojas,co COL,FW,Amazonas,20-238,2005,2,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
663,Pedro Romano,br BRA,DF,Vila Nova,24-349,2000,12,10,883,9.8,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
664,Guilherme Romão,br BRA,DF,Atl Goianiense,28-034,1997,28,26,2350,26.1,2,2,4,2,0,0,10,0,0.08,0.08,0.15,0.08,0.15,Matches
665,Romulo,br BRA,MF,Novorizontino,24-034,2001,14,11,801,8.9,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
666,Rômulo,br BRA,"FW,MF",Chapecoense,30-196,1995,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
667,Ronald,br BRA,MF,Atl Goianiense,22-272,2003,13,13,1153,12.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
668,Ronald,br BRA,MF,Operário,28-278,1997,6,0,115,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
669,Ronaldo,br BRA,FW,Ferroviária,34-214,1991,19,2,419,4.7,1,0,1,1,0,0,3,0,0.21,0.00,0.21,0.21,0.21,Matches
670,Lucas Ronier,br BRA,MF,Coritiba,20-349,2004,27,25,2183,24.3,4,0,4,4,0,0,9,0,0.16,0.00,0.16,0.16,0.16,Matches
671,Caio Roque,br BRA,DF,Volta Redonda,23-305,2002,7,4,427,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
672,Wendel Rosas,br BRA,FW,Paysandu,28-136,1997,10,3,401,4.5,2,0,2,2,0,0,1,0,0.45,0.00,0.45,0.45,0.45,Matches
673,Rossi,br BRA,"MF,FW",Paysandu,32-202,1993,17,13,1114,12.4,2,2,4,2,0,0,6,0,0.16,0.16,0.32,0.16,0.32,Matches
674,Ruan,br BRA,DF,Atl Goianiense,30-165,1995,16,9,891,9.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
675,Óscar Ruiz,py PAR,MF,Novorizontino,34-180,1991,16,1,358,4.0,2,2,4,2,0,0,1,0,0.50,0.50,1.01,0.50,1.01,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
676,Safira,br BRA,FW,Cuiabá,30-238,1995,22,19,1576,17.5,10,2,12,5,5,7,3,1,0.57,0.11,0.69,0.29,0.40,Matches
677,Samuel,br BRA,DF,América (MG),21-306,2004,4,2,232,2.6,0,1,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches
678,Sander,br BRA,DF,Cuiabá,35-038,1990,22,18,1662,18.5,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
679,Alex Sandro,br BRA,"MF,FW",Amazonas,30-082,1995,7,5,354,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
680,Sandry,br BRA,MF,Athletic,23-072,2002,29,28,2363,26.3,0,3,3,0,0,0,7,0,0.00,0.11,0.11,0.00,0.11,Matches
681,Jhony Santiago,br BRA,MF,Botafogo (SP),28-264,1997,4,2,160,1.8,0,1,1,0,0,0,0,0,0.00,0.56,0.56,0.00,0.56,Matches
682,Santos,br BRA,GK,Ath Paranaense,35-238,1990,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
683,Bruno Santos,br BRA,"FW,MF",Volta Redonda,28-357,1996,8,5,530,5.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
684,Chayene Santos,br BRA,MF,Volta Redonda,35-042,1990,12,4,523,5.8,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches
685,Emerson Santos,br BRA,DF,América (MG),30-219,1995,9,3,319,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
686,Guilherme Santos,br BRA,FW,Avaí,24-181,2001,6,0,114,1.3,0,1,1,0,0,0,0,0,0.00,0.79,0.79,0.00,0.79,Matches
687,Luis Eduardo Marques dos Santos,br BRA,"DF,MF",Atl Goianiense,28-164,1997,11,9,656,7.3,1,1,2,1,0,0,1,0,0.14,0.14,0.27,0.14,0.27,Matches
688,Rafael Santos,br BRA,GK,Chapecoense,36-241,1989,13,12,1090,12.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
689,Ryan Santos,br BRA,DF,Operário,21-077,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
690,Sassá,br BRA,FW,Criciúma,31-303,1994,11,0,170,1.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
691,Savio,br BRA,DF,Remo,30-168,1995,22,21,1768,19.6,1,2,3,1,0,0,2,0,0.05,0.10,0.15,0.05,0.15,Matches
692,Bernardo Schappo,br BRA,DF,Vila Nova,26-233,1999,12,12,1067,11.9,1,0,1,1,0,0,2,1,0.08,0.00,0.08,0.08,0.08,Matches
693,Luis Segovia,ec ECU,DF,CRB,28-015,1997,24,18,1820,20.2,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches
694,Mário Sérgio,br BRA,FW,Chapecoense,30-069,1995,7,7,621,6.9,3,0,3,3,0,0,2,0,0.43,0.00,0.43,0.43,0.43,Matches
695,Mario Sergio,br BRA,DF,Avaí,31-198,1994,23,19,1627,18.1,1,1,2,1,0,0,2,1,0.06,0.06,0.11,0.06,0.11,Matches
696,Shaylon,br BRA,MF,Atl Goianiense,28-197,1997,12,4,424,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
697,Sidimar,br BRA,DF,Athletic,33-124,1992,34,33,2968,33.0,2,0,2,2,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
698,Alex Silva,br BRA,DF,Coritiba,31-179,1994,23,20,1814,20.2,2,3,5,2,0,0,5,1,0.10,0.15,0.25,0.10,0.25,Matches
699,Gabriel Silva,br BRA,MF,Vila Nova,26-247,1999,10,4,417,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
700,Gustavo Silva,br BRA,FW,Athletic,20-310,2005,5,2,200,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
701,Henrique Silva,br BRA,MF,Volta Redonda,31-089,1994,7,2,213,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
702,Jhonatan Silva,br BRA,DF,Athletic,26-120,1999,9,5,511,5.7,2,0,2,2,0,0,5,0,0.35,0.00,0.35,0.35,0.35,Matches
703,Jhonnatan Silva,br BRA,FW,América (MG),20-261,2005,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
704,João Pedro Sousa Silva,gw GNB,FW,Remo,28-362,1996,11,6,700,7.8,1,1,2,1,0,1,1,0,0.13,0.13,0.26,0.13,0.26,Matches
705,Cristiano da Silva Leite,br BRA,DF,Operário,32-073,1993,21,20,1675,18.6,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches
706,Léo Silva,br BRA,MF,Operário,22-296,2003,4,0,74,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
707,Luan Silva,br BRA,"FW,MF",Amazonas,33-114,1992,22,10,1119,12.4,5,2,7,3,2,2,4,2,0.40,0.16,0.56,0.24,0.40,Matches
708,Marcão Silva,br BRA,MF,Goiás,34-300,1991,24,21,1655,18.4,1,1,2,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,Matches
709,Guilherme Silva Nogueira,br BRA,GK,Cuiabá,26-013,1999,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
710,Rafael Silva,br BRA,FW,América (MG),33-220,1992,7,2,230,2.6,0,1,1,0,0,0,1,0,0.00,0.39,0.39,0.00,0.39,Matches
711,Ricardo Silva,br BRA,DF,América (MG),33-089,1992,26,26,2288,25.4,1,1,2,1,0,0,3,0,0.04,0.04,0.08,0.04,0.08,Matches
712,Vagner da Silva,br BRA,GK,Operário,39-157,1986,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
713,Wallison Silva,br BRA,DF,Botafogo (SP),24-109,2001,19,10,996,11.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
714,Wellington Silva,br BRA,"DF,MF",Volta Redonda,37-249,1988,18,12,973,10.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
715,Fábio Soares,br BRA,MF,Ferroviária,20-342,2004,2,1,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
716,Yan Souto,br BRA,DF,Criciúma,24-036,2001,17,3,571,6.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
717,Gabriel Souza,br BRA,DF,Operário,22-320,2002,18,11,1024,11.4,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches
718,Aloísio Souza Genézio,br BRA,MF,América (MG),29-191,1996,6,2,192,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
719,Aloísio Souza Genézio,br BRA,MF,Goiás,29-191,1996,1,0,16,0.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
720,Jackson de Souza,br BRA,DF,Amazonas,35-193,1990,10,9,842,9.4,2,0,2,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches
721,Victor Souza,br BRA,GK,Botafogo (SP),33-071,1992,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
722,Yago Souza,br BRA,MF,América (MG),19-272,2006,16,9,803,8.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
723,Panagiotis Tachtsidis,gr GRE,MF,Remo,34-268,1991,7,6,427,4.7,1,1,2,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Matches
724,Tadeu,br BRA,GK,Goiás,33-279,1992,35,35,3150,35.0,2,2,4,0,2,4,3,0,0.06,0.06,0.11,0.00,0.06,Matches
725,Rubens Tadeu,br BRA,MF,Chapecoense,22-227,2003,5,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
726,Talisson,br BRA,"MF,FW",Atl Goianiense,23-173,2002,10,3,390,4.3,0,1,1,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matches
727,Talisson,br BRA,"MF,FW",Criciúma,23-173,2002,3,2,167,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
728,Talles,br BRA,GK,Operário,28-271,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
729,Gustavo Talles,br BRA,DF,Chapecoense,22-119,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
730,Tarik,br BRA,MF,Ferroviária,32-265,1993,22,5,600,6.7,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches
731,Rafael Tavares,br BRA,MF,Amazonas,34-318,1990,29,16,1360,15.1,2,4,6,2,0,0,3,0,0.13,0.26,0.40,0.13,0.40,Matches
732,Ronaldo Tavares,pt POR,FW,Athletic,28-111,1997,24,20,1755,19.5,9,5,14,7,2,2,1,0,0.46,0.26,0.72,0.36,0.62,Matches
733,Tavinho,br BRA,MF,Novorizontino,21-114,2004,10,3,408,4.5,1,1,2,1,0,0,1,0,0.22,0.22,0.44,0.22,0.44,Matches
734,Breno Teixeira,br BRA,FW,América (MG),23-187,2002,4,1,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
735,Carlos Terán,co COL,DF,Ath Paranaense,25-047,2000,8,7,581,6.5,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Matches
736,Miguel Terceros,bo BOL,"MF,FW",América (MG),21-199,2004,25,20,1796,20.0,7,5,12,6,1,1,4,0,0.35,0.25,0.60,0.30,0.55,Matches
737,Thallyson,br BRA,MF,Volta Redonda,29-231,1996,10,9,654,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
738,Thayllon,br BRA,MF,Ferroviária,23-360,2001,12,6,535,5.9,3,1,4,3,0,0,1,0,0.50,0.17,0.67,0.50,0.67,Matches
739,Thayllon,br BRA,MF,Avaí,19-084,2006,21,5,608,6.8,4,1,5,4,0,0,1,0,0.59,0.15,0.74,0.59,0.74,Matches
740,Thiaguinho,br BRA,"MF,FW",CRB,24-242,2001,35,33,2450,27.2,8,2,10,8,0,0,5,0,0.29,0.07,0.37,0.29,0.37,Matches
741,Thiaguinho,br BRA,MF,Operário,28-213,1997,12,2,285,3.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
742,Pablo Thomaz,br BRA,FW,Botafogo (SP),26-064,1999,6,1,164,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
743,Titi,br BRA,DF,Goiás,37-243,1988,15,14,1251,13.9,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches
744,Gebson Tito,br BRA,DF,Atl Goianiense,25-107,2000,12,12,1080,12.0,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
745,Léo Tocantins,br BRA,"MF,DF",Novorizontino,26-130,1999,14,4,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
746,Lucas Tocantins,br BRA,"MF,FW",Volta Redonda,31-108,1994,10,4,397,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
747,Stênio Toledo,br BRA,"MF,FW",América (MG),22-219,2003,28,16,1340,14.9,1,2,3,1,0,0,5,0,0.07,0.13,0.20,0.07,0.20,Matches
748,Welinton Torrão,br BRA,"MF,FW",Athletic,26-133,1999,29,23,2000,22.2,3,4,7,3,0,0,3,0,0.14,0.18,0.32,0.14,0.32,Matches
749,Diego Torres,py PAR,"MF,FW",Amazonas,23-027,2002,14,10,862,9.6,1,2,3,1,0,0,6,0,0.10,0.21,0.31,0.10,0.31,Matches
750,Joaquín Torres,ar ARG,"MF,FW",Amazonas,28-286,1997,21,10,1119,12.4,2,2,4,2,0,0,3,0,0.16,0.16,0.32,0.16,0.32,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
751,Tortello,br BRA,MF,Botafogo (SP),21-169,2004,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
752,Matheus Trindade Gonçalves,br BRA,MF,Criciúma,29-250,1996,33,25,2132,23.7,2,0,2,2,0,0,5,1,0.08,0.00,0.08,0.08,0.08,Matches
753,Emerson Urso,br BRA,FW,Vila Nova,24-181,2001,2,0,49,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
754,Rodrigo Varanda,br BRA,"FW,MF",Amazonas,22-303,2003,4,4,252,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
755,Erick Varão,br BRA,MF,Amazonas,29-254,1996,16,12,932,10.4,0,1,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
756,Guilherme Vargas,br BRA,DF,Coritiba,21-301,2004,10,9,772,8.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
757,Matheus de Vargas,br BRA,MF,Paysandu,29-145,1996,14,11,892,9.9,0,1,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches
758,Larry Vásquez,ve VEN,MF,Amazonas,34-052,1991,29,27,2322,25.8,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches
759,Kevin Velasco,co COL,"MF,FW",Ath Paranaense,28-194,1997,12,3,398,4.4,1,0,1,1,0,0,3,0,0.23,0.00,0.23,0.23,0.23,Matches
760,Dudu Vieira,br BRA,"MF,DF",Paysandu,31-263,1994,10,4,452,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
761,João Vieira,br BRA,MF,Vila Nova,28-002,1997,35,32,2828,31.4,6,1,7,3,3,3,6,0,0.19,0.03,0.22,0.10,0.13,Matches
762,Santiago Viera,uy URU,MF,Amazonas,27-159,1998,3,1,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
763,Gustavo Vilar,br BRA,DF,Botafogo (SP),25-206,2000,8,8,720,8.0,1,0,1,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches
764,Leandro Vilela,br BRA,MF,Paysandu,30-134,1995,19,19,1478,16.4,2,0,2,2,0,0,11,1,0.12,0.00,0.12,0.12,0.12,Matches
765,Pedro Vilhena,br BRA,MF,Operário,23-265,2002,10,3,525,5.8,0,1,1,0,0,0,4,1,0.00,0.17,0.17,0.00,0.17,Matches
766,Ygor Vinhas,br BRA,GK,Remo,31-209,1994,2,0,71,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
767,Alix Vinicius,br BRA,DF,Atl Goianiense,26-004,1999,19,19,1620,18.0,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,Matches
768,Caio Vinícius,br BRA,MF,Remo,26-303,1999,26,25,2105,23.4,5,2,7,5,0,0,6,0,0.21,0.09,0.30,0.21,0.30,Matches
769,Eduardo Vinícius,br BRA,MF,Cuiabá,20-222,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
770,Marcos Vinicius,br BRA,DF,Avaí,28-229,1997,32,32,2601,28.9,2,2,4,2,0,0,9,0,0.07,0.07,0.14,0.07,0.14,Matches
771,Vitao,br BRA,FW,Amazonas,25-301,2000,6,0,95,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
772,Vitinho,br BRA,"MF,FW",Volta Redonda,24-269,2001,21,17,1218,13.5,1,1,2,1,0,0,3,0,0.07,0.07,0.15,0.07,0.15,Matches
773,Vitinho,br BRA,MF,Goiás,21-265,2004,9,4,347,3.9,1,1,2,1,0,0,0,0,0.26,0.26,0.52,0.26,0.52,Matches
774,João Vitor,br BRA,MF,Avaí,27-224,1998,33,31,2516,28.0,3,2,5,3,0,0,7,0,0.11,0.07,0.18,0.11,0.18,Matches
775,Rafael Vitor,br BRA,DF,Amazonas,32-309,1993,10,7,623,6.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
776,Kevin Viveros,co COL,FW,Ath Paranaense,25-220,2000,19,16,1479,16.4,9,1,10,6,3,3,6,0,0.55,0.06,0.61,0.37,0.43,Matches
777,Felipe Vizeu,br BRA,FW,Remo,28-243,1997,13,7,681,7.6,1,0,1,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches
778,Vladimir,br BRA,GK,Atl Goianiense,36-117,1989,11,10,906,10.1,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
779,Waguinho,br BRA,"MF,FW",Novorizontino,35-284,1990,21,15,1335,14.8,4,1,5,4,0,0,4,2,0.27,0.07,0.34,0.27,0.34,Matches
780,Wallace,br BRA,DF,Atl Goianiense,31-027,1994,9,8,655,7.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
781,Wanderson,br BRA,DF,Avaí,34-276,1991,6,4,377,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
782,Wellington,br BRA,DF,Amazonas,30-254,1995,10,4,571,6.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
783,Welliton,br BRA,"MF,FW",Goiás,25-119,2000,34,17,1765,19.6,2,0,2,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
784,Wendell,br BRA,MF,Amazonas,22-331,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
785,Wesley,br BRA,MF,Botafogo (SP),30-141,1995,17,15,1286,14.3,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
786,Weverton,br BRA,DF,CRB,26-148,1999,21,17,1358,15.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
787,Weverton,br BRA,DF,Vila Nova,22-266,2003,17,15,1397,15.5,1,0,1,1,0,0,6,2,0.06,0.00,0.06,0.06,0.06,Matches
788,Willian,br BRA,FW,América (MG),38-356,1986,30,27,2152,23.9,9,3,12,8,1,3,2,0,0.38,0.13,0.50,0.33,0.46,Matches
789,Willian,br BRA,FW,Botafogo (SP),21-105,2004,5,0,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
790,Thauan Willians,br BRA,DF,América (MG),21-207,2004,4,0,122,1.4,0,1,1,0,0,0,0,0,0.00,0.74,0.74,0.00,0.74,Matches
791,Bruno Xavier,br BRA,MF,Vila Nova,28-348,1996,17,8,799,8.9,2,0,2,2,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches
792,Guilherme Xavier,br BRA,MF,Amazonas,30-332,1994,15,6,618,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
793,Ynaiã,br BRA,DF,Volta Redonda,26-142,1999,6,2,265,2.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
794,Ytalo,br BRA,"FW,MF",Remo,37-302,1988,4,0,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
795,Yuri,br BRA,"DF,MF",Athletic,29-306,1996,24,19,1486,16.5,1,4,5,1,0,0,6,0,0.06,0.24,0.30,0.06,0.30,Matches
796,Diego Zabala,uy URU,"MF,FW",Amazonas,34-052,1991,17,9,796,8.8,0,3,3,0,0,0,2,0,0.00,0.34,0.34,0.00,0.34,Matches
797,Bruno Zapelli,ar ARG,MF,Ath Paranaense,23-177,2002,33,29,2423,26.9,4,6,10,3,1,1,5,0,0.15,0.22,0.37,0.11,0.33,Matches
798,Zeca,br BRA,DF,Coritiba,31-178,1994,31,28,2514,27.9,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches
