Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches
132,Nilson Castrillón,co COL,"DF,MF",Amazonas,29-286,1996,20,17,1450,16.1,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches
133,Felipe Castro,br BRA,MF,Atl Goianiense,30-270,1995,4,1,71,0.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Pedro Castro,br BRA,MF,Remo,32-278,1993,27,17,1476,16.4,1,2,3,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,Matches
135,Rafael Castro,br BRA,DF,Remo,30-045,1995,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
136,Ygor Catatau,br BRA,"FW,MF",Volta Redonda,30-132,1995,10,8,592,6.6,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches
137,Cauê,br BRA,FW,Criciúma,22-359,2002,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
138,Léo Ceará,br BRA,MF,Volta Redonda,26-250,1999,10,1,232,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
139,César,br BRA,DF,Novorizontino,32-317,1992,25,25,2173,24.1,2,2,4,2,0,0,3,0,0.08,0.08,0.17,0.08,0.17,Matches
140,Júlio César,br BRA,DF,América (MG),22-043,2003,28,25,2007,22.3,1,2,3,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,Matches
141,Reynaldo Cesar Moraes,br BRA,DF,Remo,28-311,1997,26,24,2067,23.0,2,0,2,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches
142,Lucas Chávez,bo BOL,FW,Volta Redonda,22-207,2003,4,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Eliel Chrystian,br BRA,MF,Paysandu,22-288,2003,6,1,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
144,Léo Cittadini,br BRA,MF,Operário,31-256,1994,1,1,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
145,Walter Clar,py PAR,"MF,DF",Chapecoense,31-044,1994,35,35,3118,34.6,7,1,8,4,3,4,1,0,0.20,0.03,0.23,0.12,0.14,Matches
146,Filipe Claudino,br BRA,MF,Operário,22-029,2003,2,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
147,Clayson,br BRA,MF,Coritiba,30-236,1995,22,12,1107,12.3,0,2,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches
148,Cléber,br BRA,FW,Avaí,29-019,1996,35,34,2778,30.9,11,4,15,8,3,3,5,0,0.36,0.13,0.49,0.26,0.39,Matches
149,Cocote,br BRA,MF,Amazonas,21-104,2004,7,1,254,2.8,1,0,1,1,0,0,2,0,0.35,0.00,0.35,0.35,0.35,Matches
150,Léo Coelho,br BRA,DF,Amazonas,32-177,1993,13,13,1090,12.1,1,1,2,1,0,0,3,0,0.08,0.08,0.17,0.08,0.17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Robert Conceição,br BRA,MF,Atl Goianiense,22-113,2003,32,24,1920,21.3,5,3,8,5,0,0,5,0,0.23,0.14,0.37,0.23,0.37,Matches
152,Conrado,br BRA,DF,Atl Goianiense,28-221,1997,11,8,626,7.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
153,Luciano Cosentino,uy URU,FW,Atl Goianiense,24-176,2001,3,0,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
154,Tiago Coser,br BRA,DF,Coritiba,21-298,2004,10,5,527,5.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
155,Calebe Costa,br BRA,"MF,DF",Cuiabá,22-156,2003,26,18,1558,17.3,0,1,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches
156,Jonathan Costa,br BRA,DF,Avaí,30-205,1995,29,29,2408,26.8,1,1,2,1,0,0,7,2,0.04,0.04,0.07,0.04,0.07,Matches
157,Matheus Costa,br BRA,MF,Volta Redonda,26-088,1999,3,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
