Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
31,Willian Arão,br BRA,MF,Santos,32-335,1992,5,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,15,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
32,Luiz Araújo,br BRA,"FW,MF",Flamengo,29-154,1996,28,12,1464,16.3,6,2,8,6,0,0,2,0,3.3,3.3,3.5,6.8,28,82,121,0.37,0.12,0.49,0.37,0.49,0.20,0.22,0.42,0.20,0.42,Matches
33,Matheus Araújo,br BRA,"MF,FW",Ceará,23-165,2002,10,2,269,3.0,1,1,2,1,0,0,0,0,0.5,0.5,0.6,1.2,7,15,18,0.33,0.33,0.67,0.33,0.67,0.17,0.22,0.39,0.17,0.39,Matches
34,Michel Araujo,uy URU,"MF,FW",Bahia,29-036,1996,21,6,720,8.0,4,1,5,4,0,0,2,0,1.1,1.1,0.5,1.6,25,38,40,0.50,0.12,0.62,0.50,0.62,0.14,0.06,0.20,0.14,0.20,Matches
35,Alexander Aravena,cl CHI,"FW,MF",Grêmio,23-058,2002,19,3,521,5.8,3,0,3,3,0,0,1,0,3.2,3.2,0.8,4.0,16,10,29,0.52,0.00,0.52,0.52,0.52,0.55,0.14,0.69,0.55,0.69,Matches
36,Robert Arboleda,ec ECU,DF,São Paulo,34-012,1991,20,19,1729,19.2,3,0,3,3,0,0,4,0,1.6,1.6,0.0,1.6,1,15,1,0.16,0.00,0.16,0.16,0.16,0.08,0.00,0.08,0.08,0.08,Matches
37,Lucas Arcanjo,br BRA,GK,Vitória,27-087,1998,29,29,2545,28.3,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Matias Arezo,uy URU,FW,Grêmio,22-347,2002,8,3,268,3.0,1,1,2,1,0,0,1,0,0.9,0.9,0.8,1.7,4,5,17,0.34,0.34,0.67,0.34,0.67,0.32,0.26,0.58,0.32,0.58,Matches
39,Jhon Arias,co COL,FW,Fluminense,28-043,1997,12,12,1079,12.0,1,4,5,0,1,1,1,0,2.2,1.4,2.9,4.3,48,55,106,0.08,0.33,0.42,0.00,0.33,0.18,0.24,0.42,0.12,0.36,Matches
40,Santiago Arias,co COL,DF,Bahia,33-294,1992,16,10,969,10.8,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.8,18,49,43,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08,Matches
